journey_id,path,num_touchpoints,converted,revenue
257,Direct,1,0,0
258,Direct,1,0,0
259,Email > Direct,2,0,0
260,Organic Search > Direct,2,1,603.4
261,Social Media,1,0,0
262,Direct > Paid Search > Social Media > Organic Search,4,0,0
263,Social Media,1,0,0
264,Organic Search > Paid Search,2,0,0
265,Direct > Direct,2,1,286.57
266,Paid Search > Direct > Paid Search,3,0,0
267,Organic Search > Direct,2,1,1918.96
268,Paid Search,1,1,153.72
269,Organic Search > Direct,2,1,113.09
270,Paid Search > Direct,2,0,0
271,Direct > Paid Search,2,1,786.71
272,Paid Search > Direct > Email > Paid Search,4,0,0
273,Paid Search,1,1,558.29
274,Organic Search,1,0,0
275,Organic Search > Paid Search,2,1,241.29
276,Organic Search > Paid Search,2,0,0
277,Paid Search > Social Media,2,0,0
278,Organic Search,1,0,0
279,Organic Search > Paid Search > Email > Social Media,4,0,0
280,Organic Search > Organic Search,2,0,0
281,Organic Search > Social Media > Paid Search > Organic Search,4,0,0
282,Paid Search,1,1,666.81
283,Paid Search > Paid Search,2,1,117.35
284,Email,1,0,0
285,Paid Search > Direct,2,0,0
286,Organic Search > Direct,2,1,494.16
287,Direct > Paid Search > Paid Search,3,1,118.75
288,Social Media,1,1,298.66
289,Paid Search > Direct,2,1,225.44
290,Direct,1,1,1581.26
291,Organic Search > Direct > Email > Direct,4,1,257.05
292,Paid Search,1,1,88.16
293,Direct > Paid Search,2,0,0
294,Organic Search > Paid Search,2,1,1334.56
295,Social Media,1,1,80.56
296,Paid Search,1,1,1802.14
297,Social Media,1,0,0
298,Social Media > Email,2,1,214.18
299,Organic Search > Paid Search,2,0,0
300,Paid Search,1,0,0
301,Social Media,1,0,0
302,Email,1,0,0
303,Email,1,1,215.75
304,Direct,1,0,0
305,Organic Search > Paid Search,2,1,134.96
306,Organic Search,1,0,0
307,Social Media > Email > Paid Search,3,1,236.53
308,Organic Search > Email > Direct,3,1,1665.25
309,Social Media > Organic Search > Paid Search > Social Media,4,0,0
310,Social Media > Social Media,2,0,0
311,Paid Search > Direct > Email,3,1,157.48
312,Organic Search,1,1,600.28
313,Organic Search > Email,2,1,125.35
314,Organic Search > Paid Search > Email > Direct > Organic Search,5,0,0
315,Organic Search > Email,2,1,700.01
316,Email > Paid Search,2,0,0
317,Organic Search > Organic Search,2,0,0
318,Direct,1,1,625.7
319,Paid Search > Paid Search > Organic Search > Social Media,4,0,0
320,Social Media,1,0,0
321,Direct > Paid Search,2,0,0
322,Organic Search,1,1,437.46
323,Paid Search > Email > Direct > Social Media,4,1,177.49
324,Direct,1,1,1728.42
325,Email > Email > Paid Search > Social Media,4,0,0
326,Email,1,1,243.21
327,Paid Search,1,0,0
328,Email > Direct,2,0,0
329,Social Media,1,0,0
330,Social Media,1,0,0
331,Social Media > Paid Search > Organic Search > Direct > Direct > Email > Paid Search,7,1,162.98
332,Organic Search,1,0,0
333,Organic Search,1,0,0
334,Direct,1,1,477.63
335,Social Media,1,0,0
336,Direct,1,1,1477.76
337,Paid Search > Direct > Social Media > Organic Search > Paid Search,5,0,0
338,Paid Search,1,1,303.54
339,Organic Search > Direct,2,1,295.25
340,Paid Search > Email > Direct,3,1,673.54
341,Social Media > Organic Search > Paid Search,3,1,230.93
342,Social Media,1,0,0
343,Direct,1,1,284.86
344,Paid Search,1,0,0
345,Social Media > Email,2,1,223.83
346,Paid Search,1,0,0
347,Email,1,1,1608.16
348,Social Media,1,1,454.04
349,Paid Search > Direct > Email > Social Media,4,0,0
350,Paid Search > Social Media > Paid Search > Organic Search,4,0,0
351,Organic Search,1,0,0
352,Email,1,0,0
353,Organic Search > Social Media,2,0,0
354,Organic Search > Email > Social Media,3,0,0
355,Email,1,0,0
356,Organic Search > Direct,2,1,342.52
357,Paid Search > Email,2,1,520.41
358,Paid Search,1,0,0
359,Paid Search,1,0,0
360,Paid Search,1,0,0
361,Direct,1,1,145.47
362,Paid Search,1,0,0
363,Email,1,0,0
364,Organic Search > Social Media,2,0,0
365,Direct,1,1,261.47
366,Direct > Direct,2,0,0
367,Organic Search,1,0,0
368,Organic Search > Direct,2,0,0
369,Organic Search > Direct,2,1,63.31
370,Paid Search > Social Media,2,0,0
371,Paid Search > Organic Search,2,0,0
372,Email,1,1,706.4
373,Organic Search,1,0,0
374,Social Media > Paid Search,2,1,203.15
375,Organic Search > Social Media,2,0,0
376,Paid Search,1,1,266.71
377,Organic Search > Social Media > Organic Search > Email,4,0,0
378,Paid Search > Paid Search,2,0,0
379,Social Media > Organic Search > Direct > Email > Paid Search > Direct,6,1,154.14
380,Social Media > Organic Search,2,0,0
381,Organic Search > Direct,2,1,321.66
382,Paid Search > Direct,2,1,201.46
383,Organic Search,1,0,0
384,Paid Search,1,1,662.9
385,Social Media > Email > Organic Search > Direct,4,0,0
386,Organic Search,1,0,0
387,Paid Search,1,1,686.9
388,Organic Search,1,0,0
389,Paid Search > Email > Organic Search > Paid Search > Organic Search,5,0,0
390,Paid Search,1,0,0
391,Paid Search > Email,2,1,139.24
392,Email,1,0,0
393,Paid Search > Paid Search > Direct,3,0,0
394,Social Media,1,0,0
395,Paid Search,1,0,0
396,Paid Search > Direct,2,0,0
397,Paid Search,1,0,0
398,Social Media > Organic Search,2,1,1318.21
399,Paid Search > Paid Search,2,1,200.66
400,Paid Search,1,1,60.59
401,Direct,1,1,209.82
402,Direct,1,0,0
403,Organic Search,1,1,250.27
404,Social Media,1,0,0
405,Organic Search,1,1,552.2
406,Organic Search,1,0,0
407,Paid Search > Direct,2,1,607.44
408,Direct,1,1,1360.88
409,Paid Search > Direct,2,1,78.36
410,Social Media > Direct,2,1,357.07
411,Organic Search > Direct,2,0,0
412,Organic Search,1,0,0
413,Paid Search > Paid Search,2,0,0
414,Paid Search,1,0,0
415,Paid Search > Paid Search,2,1,979.38
416,Paid Search > Organic Search > Direct,3,0,0
417,Direct,1,0,0
418,Direct,1,1,1263.13
419,Organic Search > Paid Search > Social Media,3,0,0
420,Organic Search,1,1,250.92
421,Social Media,1,0,0
422,Organic Search > Social Media,2,0,0
423,Social Media,1,1,1735.01
424,Organic Search,1,0,0
425,Social Media > Direct,2,0,0
426,Paid Search,1,0,0
427,Email,1,1,291.57
428,Paid Search,1,0,0
429,Organic Search > Paid Search > Social Media > Paid Search > Email,5,1,285.23
430,Direct,1,0,0
431,Organic Search,1,1,275.1
432,Paid Search,1,1,301.18
433,Direct > Social Media,2,0,0
434,Social Media,1,0,0
435,Email,1,1,542.56
436,Organic Search,1,1,590.68
437,Email > Direct,2,1,576.3
438,Organic Search,1,0,0
439,Paid Search,1,0,0
440,Social Media > Social Media > Organic Search > Paid Search > Direct,5,1,201.67
441,Paid Search,1,1,1791.17
442,Direct > Social Media > Email,3,1,166.62
443,Organic Search > Paid Search > Paid Search > Email > Direct,5,1,266.33
444,Organic Search > Social Media,2,1,240.78
445,Paid Search,1,1,385.12
446,Organic Search,1,0,0
447,Paid Search,1,0,0
448,Organic Search > Email > Paid Search > Direct,4,0,0
449,Social Media > Direct,2,1,1146.39
450,Direct,1,0,0
451,Email > Direct,2,1,316.79
452,Social Media > Organic Search > Direct,3,0,0
453,Organic Search,1,0,0
454,Social Media > Paid Search,2,0,0
455,Paid Search,1,0,0
456,Paid Search,1,0,0
457,Email > Social Media,2,1,227.18
458,Organic Search > Social Media > Direct,3,1,509.3
459,Paid Search,1,1,297.65
460,Social Media > Social Media > Email,3,0,0
461,Paid Search,1,1,253.94
462,Paid Search,1,1,333.48
463,Email,1,1,215.99
464,Paid Search,1,0,0
465,Email,1,0,0
466,Social Media,1,0,0
467,Social Media > Paid Search,2,1,704.7
468,Organic Search,1,1,287.05
469,Organic Search > Organic Search > Social Media > Paid Search,4,1,664.98
470,Direct,1,0,0
471,Social Media > Organic Search > Paid Search > Social Media > Email,5,1,388.25
472,Organic Search,1,0,0
473,Paid Search > Direct,2,0,0
474,Social Media,1,0,0
475,Social Media,1,0,0
476,Organic Search > Paid Search,2,1,293.23
477,Organic Search > Social Media > Paid Search,3,1,137.2
478,Direct,1,0,0
479,Organic Search > Paid Search,2,1,295.04
480,Email,1,0,0
481,Email > Direct > Direct,3,0,0
482,Paid Search > Direct > Email,3,1,184.64
483,Direct,1,0,0
484,Organic Search,1,1,345.47
485,Social Media,1,1,231.49
486,Paid Search,1,1,242.69
487,Organic Search,1,1,262.76
488,Direct,1,0,0
489,Paid Search > Social Media,2,0,0
490,Paid Search,1,1,135.78
491,Social Media,1,1,1905.0
492,Direct > Social Media,2,0,0
493,Organic Search,1,0,0
494,Direct,1,1,761.97
495,Direct,1,0,0
496,Direct > Organic Search,2,1,295.75
497,Organic Search,1,0,0
498,Paid Search > Direct,2,0,0
499,Direct,1,1,78.16
500,Organic Search > Direct > Email > Social Media,4,0,0
501,Email,1,1,763.24
502,Direct,1,0,0
503,Email,1,1,217.31
504,Organic Search > Paid Search > Email > Email > Direct > Email,6,1,220.78
505,Social Media > Organic Search,2,1,237.27
506,Organic Search > Social Media > Email,3,1,381.42
507,Paid Search > Paid Search,2,0,0
508,Organic Search,1,1,83.39
509,Organic Search,1,0,0
510,Social Media > Email,2,1,522.51
511,Social Media > Paid Search > Social Media,3,0,0
512,Direct > Paid Search > Direct,3,0,0
513,Organic Search,1,1,186.91
514,Paid Search,1,1,132.03
515,Paid Search > Paid Search > Social Media,3,1,177.59
516,Email > Direct,2,1,234.64
517,Paid Search,1,0,0
518,Social Media > Email,2,0,0
519,Social Media,1,1,136.13
520,Organic Search,1,0,0
521,Direct > Paid Search,2,0,0
522,Organic Search > Email,2,0,0
523,Email,1,0,0
524,Social Media > Direct,2,0,0
525,Paid Search,1,0,0
526,Direct,1,1,597.08
527,Paid Search,1,1,94.62
528,Paid Search,1,1,834.04
529,Organic Search > Organic Search > Social Media,3,0,0
530,Paid Search,1,1,871.27
531,Paid Search > Email,2,0,0
532,Social Media > Paid Search,2,0,0
533,Paid Search,1,0,0
534,Direct > Organic Search > Paid Search > Paid Search > Organic Search,5,1,573.01
535,Social Media > Email > Email > Social Media,4,0,0
536,Organic Search > Direct > Direct,3,0,0
537,Social Media > Email,2,1,392.4
538,Paid Search > Social Media,2,0,0
539,Organic Search > Social Media > Organic Search,3,0,0
540,Direct,1,0,0
541,Social Media > Direct,2,1,476.63
542,Social Media,1,0,0
543,Paid Search > Direct > Social Media > Email,4,1,709.6
544,Paid Search,1,1,1872.11
545,Social Media,1,0,0
546,Social Media > Paid Search > Social Media > Paid Search,4,1,438.85
547,Organic Search,1,0,0
548,Organic Search > Social Media,2,0,0
549,Social Media,1,0,0
550,Organic Search,1,0,0
551,Social Media,1,1,721.68
552,Paid Search,1,0,0
553,Organic Search,1,0,0
554,Direct > Paid Search,2,0,0
555,Paid Search > Social Media,2,0,0
556,Organic Search,1,0,0
557,Social Media,1,0,0
558,Paid Search,1,1,115.39
559,Paid Search > Direct > Paid Search,3,0,0
560,Paid Search,1,0,0
561,Direct,1,1,537.51
562,Organic Search > Paid Search > Email,3,0,0
563,Social Media > Email > Social Media > Email > Direct,5,0,0
564,Paid Search,1,1,354.4
565,Email,1,0,0
566,Social Media > Direct > Social Media,3,0,0
567,Organic Search,1,0,0
568,Paid Search,1,0,0
569,Paid Search,1,1,58.46
570,Email,1,0,0
571,Social Media,1,0,0
572,Paid Search,1,0,0
573,Organic Search,1,0,0
574,Organic Search > Direct,2,1,600.05
575,Social Media > Direct,2,1,187.91
576,Organic Search > Direct > Email,3,0,0
577,Organic Search,1,0,0
578,Social Media,1,0,0
579,Direct > Paid Search > Paid Search > Social Media > Paid Search,5,1,900.99
580,Paid Search > Direct,2,1,794.14
581,Organic Search,1,1,1480.6
582,Direct,1,0,0
583,Organic Search > Email,2,1,52.36
584,Organic Search > Direct,2,1,1348.78
585,Direct > Paid Search,2,1,102.85
586,Direct,1,0,0
587,Paid Search > Organic Search > Paid Search,3,0,0
588,Direct,1,1,282.19
589,Paid Search,1,0,0
590,Social Media,1,0,0
591,Social Media > Email > Paid Search > Social Media > Paid Search,5,0,0
592,Paid Search,1,0,0
593,Paid Search,1,0,0
594,Organic Search,1,0,0
595,Social Media,1,1,121.48
596,Paid Search,1,0,0
597,Paid Search,1,0,0
598,Direct,1,1,544.44
599,Organic Search,1,0,0
600,Paid Search > Direct,2,0,0
601,Paid Search,1,1,251.42
602,Social Media,1,0,0
603,Social Media > Organic Search > Paid Search,3,1,643.79
604,Paid Search > Paid Search > Organic Search > Social Media > Email > Direct > Social Media > Paid Search > Direct,9,1,215.76
605,Paid Search > Paid Search,2,1,146.31
606,Organic Search > Email > Paid Search,3,0,0
607,Direct,1,0,0
608,Social Media > Paid Search > Direct > Social Media > Email,5,1,158.67
609,Paid Search > Direct > Paid Search > Email > Email,5,1,317.33
610,Organic Search > Social Media,2,0,0
611,Paid Search,1,1,994.31
612,Paid Search,1,0,0
613,Direct,1,0,0
614,Organic Search > Social Media,2,0,0
615,Organic Search > Social Media,2,0,0
616,Direct > Direct,2,0,0
617,Paid Search,1,1,144.01
618,Email > Direct > Paid Search,3,1,527.38
619,Social Media,1,1,284.65
620,Social Media > Direct > Direct,3,0,0
621,Email,1,0,0
622,Paid Search > Direct,2,1,214.67
623,Social Media,1,0,0
624,Organic Search,1,0,0
625,Paid Search > Direct,2,1,376.68
626,Paid Search,1,0,0
627,Paid Search,1,0,0
628,Paid Search,1,1,242.24
629,Social Media > Email,2,1,295.9
630,Social Media > Email,2,1,272.18
631,Organic Search > Social Media,2,1,548.31
632,Social Media > Direct,2,1,1382.88
633,Paid Search > Email > Organic Search > Paid Search > Direct,5,0,0
634,Organic Search,1,0,0
635,Organic Search > Social Media > Direct > Email,4,1,462.9
636,Social Media > Email > Direct,3,0,0
637,Organic Search,1,0,0
638,Social Media,1,0,0
639,Organic Search,1,0,0
640,Organic Search > Paid Search > Social Media,3,1,192.74
641,Paid Search > Social Media,2,0,0
642,Paid Search > Organic Search,2,1,198.05
643,Paid Search,1,1,238.08
644,Email > Paid Search > Paid Search,3,0,0
645,Organic Search > Social Media > Direct > Email,4,0,0
646,Paid Search,1,1,566.79
647,Social Media > Email,2,0,0
648,Social Media,1,0,0
649,Social Media > Social Media,2,0,0
650,Organic Search > Paid Search > Paid Search > Email > Social Media,5,0,0
651,Paid Search > Direct > Social Media > Email > Social Media,5,0,0
652,Social Media,1,0,0
653,Direct,1,1,284.18
654,Paid Search > Direct > Paid Search > Direct > Organic Search > Paid Search,6,0,0
655,Direct,1,1,610.82
656,Paid Search,1,0,0
657,Paid Search > Paid Search > Organic Search,3,0,0
658,Organic Search > Social Media,2,1,164.33
659,Social Media,1,0,0
660,Paid Search > Paid Search > Paid Search,3,0,0
661,Email > Direct,2,0,0
662,Organic Search,1,0,0
663,Paid Search,1,0,0
664,Organic Search,1,0,0
665,Email > Direct,2,0,0
666,Paid Search > Email,2,0,0
667,Paid Search,1,0,0
668,Email > Email,2,0,0
669,Social Media > Email,2,1,299.59
670,Organic Search > Paid Search > Social Media > Organic Search > Email > Direct,6,1,226.01
671,Organic Search > Social Media,2,0,0
672,Direct,1,1,290.69
673,Email,1,0,0
674,Direct,1,0,0
675,Organic Search,1,0,0
676,Organic Search,1,0,0
677,Email,1,0,0
678,Social Media > Direct,2,1,153.56
679,Paid Search,1,1,137.24
680,Paid Search > Email,2,0,0
681,Paid Search,1,0,0
682,Paid Search > Organic Search,2,0,0
683,Social Media,1,0,0
684,Paid Search,1,1,65.83
685,Paid Search > Social Media > Direct > Email > Direct,5,0,0
686,Paid Search,1,1,491.2
687,Paid Search,1,1,74.89
688,Email > Direct > Paid Search,3,0,0
689,Paid Search > Organic Search,2,0,0
690,Organic Search,1,1,212.5
691,Organic Search,1,0,0
692,Organic Search,1,1,142.96
693,Direct > Social Media > Email > Direct,4,0,0
694,Organic Search,1,1,501.63
695,Paid Search > Social Media > Paid Search,3,1,223.9
696,Email,1,0,0
697,Paid Search > Social Media > Organic Search > Email,4,1,128.34
698,Direct > Social Media,2,0,0
699,Email > Paid Search,2,0,0
700,Organic Search > Direct > Organic Search,3,1,633.46
701,Social Media > Paid Search > Direct,3,0,0
702,Direct > Paid Search > Paid Search,3,0,0
703,Social Media > Email,2,0,0
704,Paid Search > Social Media > Social Media > Organic Search,4,1,564.56
705,Email,1,1,1487.61
706,Paid Search,1,1,648.71
707,Organic Search > Paid Search,2,0,0
708,Direct,1,1,174.9
709,Social Media,1,1,494.75
710,Direct > Social Media,2,0,0
711,Social Media > Email,2,1,1931.68
712,Email > Organic Search > Paid Search > Email > Organic Search > Paid Search,6,0,0
713,Paid Search,1,1,449.26
714,Social Media > Organic Search > Direct,3,1,127.48
715,Paid Search > Social Media,2,0,0
716,Paid Search > Direct,2,1,1521.58
717,Organic Search,1,1,1769.7
718,Organic Search > Paid Search > Direct,3,1,385.57
719,Social Media,1,0,0
720,Organic Search,1,0,0
721,Social Media > Paid Search,2,0,0
722,Paid Search,1,0,0
723,Social Media > Paid Search > Paid Search,3,0,0
724,Organic Search,1,0,0
725,Email > Organic Search,2,0,0
726,Organic Search > Paid Search,2,1,246.24
727,Paid Search > Direct,2,1,420.61
728,Organic Search > Paid Search,2,1,842.61
729,Paid Search > Organic Search,2,0,0
730,Organic Search > Direct,2,1,282.79
731,Direct,1,1,396.27
732,Paid Search > Email > Direct,3,0,0
733,Organic Search > Paid Search > Direct,3,1,171.74
734,Email,1,0,0
735,Direct > Paid Search > Direct > Direct,4,0,0
736,Paid Search,1,1,100.17
737,Social Media > Email,2,1,555.01
738,Paid Search,1,0,0
739,Organic Search,1,0,0
740,Email > Email > Organic Search > Email > Email > Direct,6,0,0
741,Direct,1,0,0
742,Organic Search,1,1,1590.82
743,Organic Search > Direct > Email,3,1,299.24
744,Social Media > Organic Search,2,0,0
745,Direct,1,1,1058.74
746,Direct > Paid Search > Paid Search > Social Media,4,0,0
747,Organic Search,1,1,778.53
748,Organic Search > Social Media > Email,3,0,0
749,Social Media,1,0,0
750,Paid Search > Email > Paid Search > Social Media,4,0,0
751,Social Media > Paid Search > Social Media > Direct,4,1,778.78
752,Organic Search > Social Media > Social Media > Paid Search > Social Media,5,0,0
753,Email,1,1,258.98
754,Paid Search > Paid Search > Social Media > Email,4,1,356.1
755,Direct > Organic Search > Email > Direct,4,0,0
756,Organic Search > Direct,2,0,0
757,Organic Search > Organic Search,2,0,0
758,Direct > Social Media,2,0,0
759,Paid Search,1,1,549.39
760,Organic Search,1,0,0
761,Organic Search > Paid Search,2,0,0
